date,team,attack_conf,ITT,is_gassed,is_fatigued,actual_runs,run_diff
2026-06-27,Baltimore Orioles,97.0,4.8,Y,Y,3,-1.8
2026-06-27,Milwaukee Brewers,82.0,4.5,Y,Y,2,-2.5
2026-06-27,Philadelphia Phillies,92.0,4.3,Y,Y,2,-2.3
2026-06-27,Seattle Mariners,49.0,4.2,N,Y,3,-1.2
2026-06-27,Arizona Diamondbacks,94.0,3.8,Y,Y,2,-1.8
2026-06-27,Atlanta Braves,69.0,3.6,Y,Y,0,-3.6
2026-06-27,Los Angeles Angels,91.0,4.5,Y,Y,5,0.5
2026-06-27,Athletics,61.0,4.2,N,Y,2,-2.2
2026-06-27,San Francisco Giants,59.0,4.1,N,Y,5,0.9
2026-06-27,Chicago Cubs,52.0,3.7,N,Y,8,4.3
2026-07-01,Los Angeles Dodgers,92.0,5.95,Y,Y,1,-4.95
2026-07-01,Miami Marlins,95.0,5.85,Y,Y,3,-2.85
2026-07-01,Milwaukee Brewers,95.0,5.1,Y,Y,4,-1.1
2026-07-01,Tampa Bay Rays,81.0,5.65,N,Y,4,-1.65
2026-07-01,Cincinnati Reds,61.0,4.1,N,Y,2,-2.1
2026-07-01,Minnesota Twins,61.0,4.2,N,Y,8,3.8
2026-07-02,Los Angeles Dodgers,97.0,5.95,Y,Y,12,6.05
2026-07-02,San Diego Padres,95.0,3.8,Y,Y,7,3.2
2026-07-03,Athletics,93.0,5.55,Y,Y,5,-0.55
2026-07-03,Los Angeles Dodgers,97.0,5.0,Y,Y,4,-1.0
2026-07-03,New York Mets,96.0,4.5,Y,Y,3,-1.5
2026-07-03,San Francisco Giants,95.0,6.0,Y,Y,3,-3.0
2026-07-03,Tampa Bay Rays,94.0,4.6,Y,Y,3,-1.6
2026-07-03,Washington Nationals,92.0,5.2,Y,Y,9,3.8
2026-07-03,Baltimore Orioles,93.0,5.5,N,Y,3,-2.5
2026-07-03,Arizona Diamondbacks,73.0,4.1,N,Y,4,-0.1
2026-07-03,Cleveland Guardians,59.0,4.3,Y,Y,4,-0.3
2026-07-03,Los Angeles Angels,88.0,3.9,Y,Y,2,-1.9
2026-07-03,San Diego Padres,75.0,3.45,Y,Y,3,-0.45
2026-07-03,Chicago White Sox,42.0,3.9,N,Y,3,-0.9
2026-07-03,Seattle Mariners,53.0,3.5,N,Y,0,-3.5
2026-07-04,Arizona Diamondbacks,95.0,4.4,Y,Y,4,-0.4
2026-07-04,Chicago Cubs,95.0,4.5,Y,Y,0,-4.5
2026-07-04,Milwaukee Brewers,97.0,5.3,Y,Y,3,-2.3
2026-07-04,Athletics,90.0,5.2,Y,Y,2,-3.2
2026-07-04,Colorado Rockies,75.0,5.8,N,Y,4,-1.8
2026-07-04,Kansas City Royals,55.0,4.2,Y,Y,1,-3.2
2026-07-04,Cleveland Guardians,75.0,4.1,Y,Y,1,-3.1
2026-07-04,New York Mets,89.0,3.6,Y,Y,3,-0.6
2026-07-04,Chicago White Sox,67.0,3.6,Y,Y,3,-0.6
2026-07-04,Tampa Bay Rays,63.0,3.6,Y,Y,8,4.4
2026-07-04,San Diego Padres,79.0,3.45,Y,Y,0,-3.45
2026-07-04,Los Angeles Dodgers,94.0,5.4,Y,Y,3,-2.4
2026-07-05,Los Angeles Dodgers,97.0,5.75,Y,Y,2,-3.75
2026-07-05,San Diego Padres,80.0,4.3,N,Y,5,0.7
2026-07-05,Boston Red Sox,82.0,4.5,Y,Y,7,2.5
2026-07-06,Los Angeles Dodgers,95.0,5.4,Y,Y,8,2.6
2026-07-06,Arizona Diamondbacks,96.0,4.7,Y,Y,8,3.3
2026-07-06,Atlanta Braves,95.0,4.8,Y,Y,6,1.2
2026-07-06,New York Mets,82.0,4.4,Y,Y,7,2.6
2026-07-06,St. Louis Cardinals,82.0,4.0,Y,Y,3,-1.0
2026-07-06,San Diego Padres,82.0,4.6,Y,Y,0,-4.6
2026-07-06,Washington Nationals,96.0,5.1,Y,Y,12,6.9
2026-07-06,Houston Astros,75.0,4.6,Y,Y,11,6.4
2026-07-06,Milwaukee Brewers,75.0,4.2,N,Y,4,-0.2
2026-07-06,Colorado Rockies,78.0,4.3,N,Y,7,2.7
2026-07-06,Toronto Blue Jays,41.0,3.9,Y,Y,1,-2.9
2026-07-06,Tampa Bay Rays,76.0,3.9,Y,Y,1,-2.9
2026-07-07,Los Angeles Dodgers,96.0,5.8,Y,Y,3,-2.8
2026-07-07,Detroit Tigers,93.0,5.0,Y,Y,6,1.0
2026-07-07,Milwaukee Brewers,75.0,4.4,Y,Y,4,-0.4
2026-07-07,New York Mets,82.0,4.7,Y,Y,12,7.3
2026-07-07,Pittsburgh Pirates,75.0,5.0,Y,Y,12,7.0
2026-07-07,Washington Nationals,89.0,5.0,Y,Y,3,-2.0
2026-07-07,Cincinnati Reds,78.0,4.1,N,Y,1,-3.1
2026-07-07,Texas Rangers,92.0,4.0,Y,Y,8,4.0
2026-07-07,Kansas City Royals,70.0,4.0,Y,Y,16,12.0
2026-07-07,Houston Astros,84.0,4.7,Y,Y,6,1.3
2026-07-07,Arizona Diamondbacks,94.0,4.4,Y,Y,1,-3.4
2026-07-07,St. Louis Cardinals,82.0,3.8,Y,Y,3,-0.8
2026-07-07,Minnesota Twins,80.0,4.5,N,Y,3,-1.5
2026-07-07,Boston Red Sox,51.0,4.5,N,Y,8,3.5
2026-07-07,Tampa Bay Rays,50.0,3.9,Y,Y,6,2.1
2026-07-07,Colorado Rockies,68.0,3.7,Y,Y,4,0.3
2026-07-07,New York Yankees,31.0,3.7,N,Y,4,0.3
2026-07-08,Los Angeles Dodgers,96.0,5.85,Y,Y,4,-1.85
2026-07-08,Detroit Tigers,97.0,5.3,Y,Y,6,0.7
2026-07-08,Milwaukee Brewers,82.0,4.4,Y,Y,1,-3.4
2026-07-08,New York Mets,94.0,5.3,Y,Y,6,0.7
2026-07-08,Pittsburgh Pirates,94.0,5.0,Y,Y,0,-5.0
2026-07-08,Washington Nationals,94.0,5.5,Y,Y,8,2.5
2026-07-08,Cincinnati Reds,94.0,4.6,Y,Y,11,6.4
2026-07-08,Kansas City Royals,77.0,4.5,Y,Y,2,-2.5
2026-07-08,Colorado Rockies,94.0,4.1,Y,Y,3,-1.1
2026-07-08,Seattle Mariners,91.0,4.6,N,Y,0,-4.6
2026-07-08,Arizona Diamondbacks,85.0,4.0,Y,Y,4,0.0
2026-07-08,Boston Red Sox,71.0,3.9,Y,Y,5,1.1
2026-07-08,St. Louis Cardinals,58.0,3.8,N,Y,5,1.2
2026-07-08,Los Angeles Angels,57.0,3.7,N,Y,13,9.3
2026-07-08,Houston Astros,80.0,4.8,Y,Y,2,-2.8
2026-07-09,Milwaukee Brewers,97.0,4.5,Y,Y,8,3.5
2026-07-09,Detroit Tigers,95.0,4.9,Y,Y,4,-0.9
2026-07-09,Arizona Diamondbacks,94.0,4.2,Y,Y,3,-1.2
2026-07-09,Cincinnati Reds,94.0,4.3,Y,Y,0,-4.3
2026-07-09,Colorado Rockies,77.0,4.3,N,Y,2,-2.3
2026-07-19,Washington Nationals,75.0,5.65,Y,Y,5,-0.65
2026-07-19,Milwaukee Brewers,96.0,4.3,Y,Y,3,-1.3
2026-07-19,Houston Astros,59.0,4.5,N,Y,2,-2.5
2026-07-19,Boston Red Sox,81.0,4.2,Y,Y,6,1.8
2026-07-19,Tampa Bay Rays,37.0,4.0,N,Y,1,-3.0
2026-07-19,Atlanta Braves,70.0,4.2,N,Y,8,3.8
2026-07-19,Pittsburgh Pirates,47.0,3.7,N,Y,7,3.3
2026-07-19,Cleveland Guardians,44.0,3.5,Y,Y,1,-2.5
